Game,Score,Record,Mean Score
1,0,0,0.0
2,0,0,0.0
3,0,0,0.0
4,0,0,0.0
5,0,0,0.0
6,0,0,0.0
7,0,0,0.0
8,0,0,0.0
9,1,1,0.1111111111111111
10,0,1,0.1
11,0,1,0.09090909090909091
12,0,1,0.08333333333333333
13,0,1,0.07692307692307693
14,0,1,0.07142857142857142
15,0,1,0.06666666666666667
16,0,1,0.0625
17,1,1,0.11764705882352941
18,0,1,0.1111111111111111
19,1,1,0.15789473684210525
20,0,1,0.15
21,0,1,0.14285714285714285
22,0,1,0.13636363636363635
23,1,1,0.17391304347826086
24,0,1,0.16666666666666666
25,1,1,0.2
26,1,1,0.23076923076923078
27,0,1,0.2222222222222222
28,0,1,0.21428571428571427
29,0,1,0.20689655172413793
30,0,1,0.2
31,1,1,0.22580645161290322
32,0,1,0.21875
33,0,1,0.21212121212121213
34,1,1,0.23529411764705882
35,0,1,0.22857142857142856
36,0,1,0.2222222222222222
37,0,1,0.21621621621621623
38,0,1,0.21052631578947367
39,0,1,0.20512820512820512
40,0,1,0.2
41,0,1,0.1951219512195122
42,1,1,0.21428571428571427
43,0,1,0.20930232558139536
44,0,1,0.20454545454545456
45,0,1,0.2
46,0,1,0.1956521739130435
47,0,1,0.19148936170212766
48,1,1,0.20833333333333334
49,1,1,0.22448979591836735
50,0,1,0.22
51,1,1,0.23529411764705882
52,1,1,0.25
53,4,4,0.32075471698113206
54,0,4,0.3148148148148148
55,0,4,0.3090909090909091
56,0,4,0.30357142857142855
57,5,5,0.38596491228070173
58,0,5,0.3793103448275862
59,2,5,0.4067796610169492
60,1,5,0.4166666666666667
61,2,5,0.4426229508196721
62,0,5,0.43548387096774194
63,0,5,0.42857142857142855
64,1,5,0.4375
65,1,5,0.4461538461538462
66,3,5,0.48484848484848486
67,2,5,0.5074626865671642
68,1,5,0.5147058823529411
69,0,5,0.5072463768115942
70,4,5,0.5571428571428572
71,1,5,0.5633802816901409
72,0,5,0.5555555555555556
73,1,5,0.5616438356164384
74,3,5,0.5945945945945946
75,8,8,0.6933333333333334
76,2,8,0.7105263157894737
77,0,8,0.7012987012987013
78,2,8,0.717948717948718
79,4,8,0.759493670886076
80,0,8,0.75
81,0,8,0.7407407407407407
82,0,8,0.7317073170731707
83,0,8,0.7228915662650602
84,12,12,0.8571428571428571
85,6,12,0.9176470588235294
86,8,12,1.0
87,4,12,1.0344827586206897
88,0,12,1.0227272727272727
89,0,12,1.0112359550561798
90,0,12,1.0
91,18,18,1.1868131868131868
92,2,18,1.1956521739130435
93,14,18,1.3333333333333333
94,9,18,1.4148936170212767
95,0,18,1.4
96,8,18,1.46875
97,0,18,1.4536082474226804
98,5,18,1.489795918367347
99,27,27,1.7474747474747474
100,33,33,2.06
101,25,33,2.287128712871287
102,15,33,2.411764705882353
103,19,33,2.5728155339805827
104,41,41,2.9423076923076925
105,18,41,3.085714285714286
106,21,41,3.2547169811320753
107,45,45,3.6448598130841123
108,36,45,3.9444444444444446
109,35,45,4.229357798165138
110,21,45,4.381818181818182
111,47,47,4.7657657657657655
112,19,47,4.892857142857143
113,40,47,5.20353982300885
114,20,47,5.333333333333333
115,25,47,5.504347826086956
116,22,47,5.646551724137931
117,38,47,5.923076923076923
118,50,50,6.296610169491525
119,50,50,6.663865546218488
120,25,50,6.816666666666666
121,35,50,7.049586776859504
122,21,50,7.163934426229508
123,30,50,7.349593495934959
124,25,50,7.491935483870968
125,22,50,7.608
126,41,50,7.873015873015873
127,43,50,8.149606299212598
128,26,50,8.2890625
129,37,50,8.511627906976743
130,17,50,8.576923076923077
131,35,50,8.778625954198473
132,36,50,8.984848484848484
133,38,50,9.203007518796992
134,46,50,9.477611940298507
135,47,50,9.755555555555556
136,33,50,9.926470588235293
137,42,50,10.16058394160584
138,35,50,10.340579710144928
139,14,50,10.366906474820144
140,27,50,10.485714285714286
141,23,50,10.574468085106384
142,20,50,10.640845070422536
143,29,50,10.76923076923077
144,17,50,10.8125
145,69,69,11.213793103448277
146,19,69,11.267123287671232
147,22,69,11.34013605442177
148,25,69,11.432432432432432
149,44,69,11.651006711409396
150,35,69,11.806666666666667
151,18,69,11.847682119205299
152,29,69,11.960526315789474
153,26,69,12.052287581699346
154,24,69,12.12987012987013
155,50,69,12.374193548387098
156,27,69,12.467948717948717
157,42,69,12.656050955414013
158,27,69,12.746835443037975
159,23,69,12.81132075471698
160,22,69,12.86875
161,10,69,12.850931677018634
162,59,69,13.135802469135802
163,44,69,13.325153374233128
164,39,69,13.481707317073171
165,25,69,13.55151515151515
166,31,69,13.656626506024097
167,28,69,13.74251497005988
168,40,69,13.898809523809524
169,42,69,14.065088757396449
170,26,69,14.135294117647058
171,34,69,14.251461988304094
172,38,69,14.38953488372093
173,27,69,14.46242774566474
174,50,69,14.666666666666666
175,33,69,14.771428571428572
176,40,69,14.914772727272727
177,40,69,15.056497175141242
178,31,69,15.146067415730338
179,51,69,15.346368715083798
180,13,69,15.333333333333334
181,27,69,15.397790055248619
182,48,69,15.576923076923077
183,35,69,15.683060109289617
184,37,69,15.798913043478262
185,25,69,15.848648648648648
186,60,69,16.086021505376344
187,28,69,16.149732620320854
188,15,69,16.143617021276597
189,41,69,16.275132275132275
190,33,69,16.36315789473684
191,32,69,16.445026178010473
192,21,69,16.46875
193,72,72,16.756476683937823
194,59,72,16.97422680412371
195,29,72,17.035897435897436
196,17,72,17.035714285714285
197,44,72,17.17258883248731
198,31,72,17.242424242424242
199,38,72,17.34673366834171
200,44,72,17.48
201,37,72,17.577114427860696
202,29,72,17.633663366336634
203,26,72,17.67487684729064
204,31,72,17.74019607843137
205,21,72,17.75609756097561
206,28,72,17.805825242718445
207,35,72,17.88888888888889
208,27,72,17.932692307692307
209,12,72,17.904306220095695
210,18,72,17.904761904761905
211,42,72,18.018957345971565
212,45,72,18.14622641509434
213,49,72,18.291079812206572
214,27,72,18.33177570093458
215,21,72,18.344186046511627
216,48,72,18.48148148148148
217,41,72,18.5852534562212
218,30,72,18.637614678899084
219,39,72,18.730593607305938
220,25,72,18.759090909090908
221,31,72,18.81447963800905
222,31,72,18.86936936936937
223,45,72,18.986547085201792
224,34,72,19.053571428571427
225,36,72,19.128888888888888
226,52,72,19.27433628318584
227,29,72,19.31718061674009
228,24,72,19.337719298245613
229,51,72,19.475982532751093
230,27,72,19.508695652173913
231,27,72,19.541125541125542
232,31,72,19.59051724137931
233,21,72,19.59656652360515
234,44,72,19.700854700854702
235,26,72,19.727659574468085
236,43,72,19.826271186440678
237,35,72,19.890295358649787
238,31,72,19.936974789915965
239,31,72,19.98326359832636
240,44,72,20.083333333333332
241,46,72,20.190871369294605
242,14,72,20.165289256198346
243,37,72,20.234567901234566
244,40,72,20.315573770491802
245,23,72,20.3265306122449
246,38,72,20.398373983739837
247,32,72,20.445344129554655
248,43,72,20.536290322580644
249,26,72,20.55823293172691
250,49,72,20.672
251,38,72,20.741035856573706
252,21,72,20.74206349206349
253,25,72,20.75889328063241
254,28,72,20.787401574803148
255,25,72,20.80392156862745
256,50,72,20.91796875
257,28,72,20.945525291828794
258,49,72,21.05426356589147
259,36,72,21.111969111969113
260,46,72,21.20769230769231
261,29,72,21.237547892720308
262,33,72,21.282442748091604
263,26,72,21.30038022813688
264,16,72,21.28030303030303
265,31,72,21.316981132075473
266,31,72,21.353383458646615
267,25,72,21.367041198501873
268,35,72,21.417910447761194
269,19,72,21.4089219330855
270,30,72,21.44074074074074
271,60,72,21.583025830258304
272,43,72,21.66176470588235
273,26,72,21.67765567765568
274,37,72,21.733576642335766
275,32,72,21.77090909090909
276,55,72,21.891304347826086
277,13,72,21.859205776173287
278,69,72,22.028776978417266
279,14,72,22.0
280,28,72,22.021428571428572
281,82,82,22.234875444839858
282,22,82,22.23404255319149
283,12,82,22.197879858657245
284,20,82,22.190140845070424
285,41,82,22.256140350877192
286,39,82,22.314685314685313
287,30,82,22.341463414634145
288,24,82,22.34722222222222
289,48,82,22.43598615916955
290,32,82,22.46896551724138
291,22,82,22.467353951890033
292,35,82,22.51027397260274
293,17,82,22.49146757679181
294,70,82,22.653061224489797
295,20,82,22.64406779661017
296,38,82,22.695945945945947
297,15,82,22.67003367003367
298,55,82,22.778523489932887
299,42,82,22.842809364548494
300,41,82,22.903333333333332
301,50,82,22.993355481727576
302,22,82,22.990066225165563
303,30,82,23.013201320132012
304,14,82,22.98355263157895
305,52,82,23.078688524590163
306,37,82,23.124183006535947
307,48,82,23.205211726384366
308,39,82,23.256493506493506
309,20,82,23.245954692556634
310,47,82,23.322580645161292
311,28,82,23.337620578778136
312,67,82,23.477564102564102
313,29,82,23.49520766773163
314,17,82,23.47452229299363
315,33,82,23.504761904761907
316,49,82,23.585443037974684
317,34,82,23.618296529968454
318,42,82,23.67610062893082
319,33,82,23.705329153605014
320,39,82,23.753125
321,18,82,23.735202492211837
322,20,82,23.72360248447205
323,17,82,23.70278637770898
324,28,82,23.71604938271605
325,39,82,23.763076923076923
326,36,82,23.800613496932517
327,34,82,23.831804281345565
328,50,82,23.911585365853657
329,32,82,23.93617021276596
330,14,82,23.906060606060606
331,13,82,23.87311178247734
332,39,82,23.91867469879518
333,56,82,24.015015015015017
334,29,82,24.02994011976048
335,38,82,24.071641791044776
336,20,82,24.05952380952381
337,27,82,24.068249258160236
338,28,82,24.079881656804734
339,38,82,24.12094395280236
340,20,82,24.108823529411765
341,35,82,24.14076246334311
342,46,82,24.204678362573098
343,28,82,24.215743440233236
344,37,82,24.252906976744185
345,23,82,24.24927536231884
346,39,82,24.291907514450866
347,26,82,24.296829971181555
348,21,82,24.28735632183908
349,46,82,24.349570200573066
350,60,82,24.451428571428572
351,54,82,24.535612535612536
352,32,82,24.556818181818183
353,49,82,24.626062322946176
354,35,82,24.65536723163842
355,12,82,24.619718309859156
356,33,82,24.64325842696629
357,19,82,24.627450980392158
358,55,82,24.712290502793294
359,63,82,24.818941504178273
360,46,82,24.877777777777776
361,40,82,24.9196675900277
362,24,82,24.917127071823206
363,54,82,24.99724517906336
364,36,82,25.02747252747253
365,20,82,25.013698630136986
366,61,82,25.112021857923498
367,24,82,25.108991825613078
368,28,82,25.116847826086957
369,21,82,25.10569105691057
370,48,82,25.167567567567566
371,18,82,25.148247978436657
372,71,82,25.271505376344088
373,22,82,25.262734584450403
374,53,82,25.336898395721924
375,21,82,25.325333333333333
376,23,82,25.319148936170212
377,35,82,25.344827586206897
378,29,82,25.354497354497354
379,27,82,25.358839050131927
380,25,82,25.357894736842105
381,37,82,25.388451443569554
382,22,82,25.37958115183246
383,14,82,25.349869451697128
384,5,82,25.296875
385,29,82,25.306493506493506
386,43,82,25.352331606217618
387,33,82,25.372093023255815
388,34,82,25.394329896907216
389,15,82,25.367609254498714
390,42,82,25.41025641025641
391,30,82,25.421994884910486
392,59,82,25.507653061224488
393,25,82,25.506361323155215
394,20,82,25.492385786802032
395,35,82,25.51645569620253
396,23,82,25.51010101010101
397,54,82,25.581863979848865
398,37,82,25.610552763819097
399,42,82,25.651629072681704
400,55,82,25.725
401,16,82,25.700748129675812
402,32,82,25.71641791044776
403,46,82,25.766749379652605
404,35,82,25.78960396039604
405,31,82,25.80246913580247
406,58,82,25.88177339901478
407,43,82,25.923832923832922
408,43,82,25.965686274509803
409,26,82,25.965770171149146
410,44,82,26.009756097560974
411,29,82,26.017031630170315
412,25,82,26.014563106796118
413,26,82,26.01452784503632
414,49,82,26.070048309178745
415,14,82,26.040963855421687
416,20,82,26.026442307692307
417,21,82,26.014388489208635
418,45,82,26.059808612440193
419,38,82,26.088305489260144
420,24,82,26.083333333333332
421,20,82,26.068883610451305
422,47,82,26.118483412322274
423,43,82,26.15839243498818
424,45,82,26.202830188679247
425,48,82,26.254117647058823
426,40,82,26.28638497652582
427,29,82,26.292740046838407
428,70,82,26.39485981308411
429,32,82,26.407925407925408
430,38,82,26.434883720930234
431,28,82,26.438515081206496
432,44,82,26.479166666666668
433,13,82,26.448036951501155
434,54,82,26.51152073732719
435,36,82,26.533333333333335
436,46,82,26.577981651376145
437,37,82,26.601830663615562
438,30,82,26.60958904109589
439,54,82,26.671981776765374
440,19,82,26.654545454545456
441,15,82,26.6281179138322
442,9,82,26.58823529411765
443,12,82,26.55530474040632
444,23,82,26.5472972972973
445,45,82,26.58876404494382
446,51,82,26.643497757847534
447,29,82,26.648769574944073
448,19,82,26.631696428571427
449,44,82,26.670378619153674
450,51,82,26.724444444444444
451,27,82,26.725055432372507
452,48,82,26.77212389380531
453,41,82,26.80353200883002
454,42,82,26.837004405286343
455,24,82,26.83076923076923
456,12,82,26.79824561403509
457,33,82,26.811816192560176
458,29,82,26.816593886462883
459,28,82,26.81917211328976
460,60,82,26.891304347826086
461,33,82,26.904555314533624
462,17,82,26.883116883116884
463,47,82,26.92656587473002
464,37,82,26.948275862068964
465,27,82,26.948387096774194
466,24,82,26.94206008583691
467,34,82,26.957173447537475
468,33,82,26.97008547008547
469,37,82,26.99147121535181
470,51,82,27.04255319148936
471,47,82,27.084925690021233
472,33,82,27.097457627118644
473,50,82,27.145877378435518
474,40,82,27.172995780590718
475,30,82,27.178947368421053
476,17,82,27.157563025210084
477,28,82,27.159329140461217
478,54,82,27.215481171548117
479,28,82,27.217118997912316
480,60,82,27.285416666666666
481,31,82,27.293139293139294
482,25,82,27.28838174273859
483,45,82,27.32505175983437
484,19,82,27.30785123966942
485,49,82,27.352577319587628
1,0,0,0.0
2,1,1,0.5
3,0,1,0.3333333333333333
4,0,1,0.25
5,0,1,0.2
6,0,1,0.16666666666666666
7,0,1,0.14285714285714285
8,0,1,0.125
9,0,1,0.1111111111111111
10,0,1,0.1
11,1,1,0.18181818181818182
12,0,1,0.16666666666666666
13,0,1,0.15384615384615385
14,0,1,0.14285714285714285
15,0,1,0.13333333333333333
16,1,1,0.1875
17,1,1,0.23529411764705882
18,0,1,0.2222222222222222
19,1,1,0.2631578947368421
20,1,1,0.3
21,0,1,0.2857142857142857
22,1,1,0.3181818181818182
23,1,1,0.34782608695652173
24,0,1,0.3333333333333333
25,0,1,0.32
26,0,1,0.3076923076923077
27,0,1,0.2962962962962963
28,0,1,0.2857142857142857
29,0,1,0.27586206896551724
30,1,1,0.3
31,0,1,0.2903225806451613
32,1,1,0.3125
33,0,1,0.30303030303030304
34,0,1,0.29411764705882354
35,0,1,0.2857142857142857
36,0,1,0.2777777777777778
37,0,1,0.2702702702702703
38,0,1,0.2631578947368421
39,1,1,0.28205128205128205
40,0,1,0.275
41,0,1,0.2682926829268293
42,1,1,0.2857142857142857
43,0,1,0.27906976744186046
44,1,1,0.29545454545454547
45,0,1,0.28888888888888886
46,0,1,0.2826086956521739
47,0,1,0.2765957446808511
48,0,1,0.2708333333333333
49,2,2,0.30612244897959184
50,1,2,0.32
51,0,2,0.3137254901960784
52,0,2,0.3076923076923077
53,1,2,0.32075471698113206
54,0,2,0.3148148148148148
55,0,2,0.3090909090909091
56,1,2,0.32142857142857145
57,0,2,0.3157894736842105
58,1,2,0.3275862068965517
59,1,2,0.3389830508474576
60,0,2,0.3333333333333333
61,2,2,0.36065573770491804
62,3,3,0.4032258064516129
63,1,3,0.4126984126984127
64,1,3,0.421875
65,1,3,0.4307692307692308
66,1,3,0.4393939393939394
67,1,3,0.44776119402985076
68,1,3,0.45588235294117646
69,1,3,0.463768115942029
70,8,8,0.5714285714285714
71,2,8,0.5915492957746479
72,0,8,0.5833333333333334
73,0,8,0.5753424657534246
74,0,8,0.5675675675675675
75,1,8,0.5733333333333334
76,10,10,0.6973684210526315
77,3,10,0.7272727272727273
78,0,10,0.717948717948718
79,11,11,0.8481012658227848
80,3,11,0.875
81,0,11,0.8641975308641975
82,8,11,0.9512195121951219
83,20,20,1.180722891566265
84,3,20,1.2023809523809523
85,5,20,1.2470588235294118
86,7,20,1.313953488372093
87,1,20,1.3103448275862069
88,21,21,1.5340909090909092
89,4,21,1.5617977528089888
90,0,21,1.5444444444444445
91,1,21,1.5384615384615385
92,34,34,1.891304347826087
93,33,34,2.225806451612903
94,28,34,2.5
95,26,34,2.7473684210526317
96,30,34,3.03125
97,38,38,3.3917525773195876
98,24,38,3.6020408163265305
99,34,38,3.909090909090909
100,20,38,4.07
101,26,38,4.287128712871287
102,20,38,4.4411764705882355
103,40,40,4.786407766990291
104,41,41,5.134615384615385
105,41,41,5.476190476190476
106,21,41,5.622641509433962
107,41,41,5.953271028037383
108,27,41,6.148148148148148
109,48,48,6.532110091743119
110,24,48,6.6909090909090905
111,42,48,7.009009009009009
112,28,48,7.196428571428571
113,56,56,7.628318584070796
114,30,56,7.824561403508772
115,47,56,8.165217391304347
116,34,56,8.387931034482758
117,14,56,8.435897435897436
118,38,56,8.686440677966102
119,42,56,8.966386554621849
120,49,56,9.3
121,24,56,9.421487603305785
122,12,56,9.442622950819672
123,29,56,9.601626016260163
124,29,56,9.758064516129032
125,34,56,9.952
126,11,56,9.96031746031746
127,20,56,10.039370078740157
128,51,56,10.359375
129,16,56,10.4031007751938
130,30,56,10.553846153846154
131,46,56,10.82442748091603
132,53,56,11.143939393939394
133,13,56,11.157894736842104
134,48,56,11.432835820895523
135,30,56,11.57037037037037
136,27,56,11.683823529411764
137,40,56,11.89051094890511
138,37,56,12.072463768115941
139,23,56,12.151079136690647
140,15,56,12.17142857142857
141,58,58,12.49645390070922
142,34,58,12.647887323943662
143,48,58,12.895104895104895
144,44,58,13.11111111111111
145,7,58,13.068965517241379
146,29,58,13.178082191780822
147,20,58,13.224489795918368
148,23,58,13.29054054054054
149,53,58,13.557046979865772
150,55,58,13.833333333333334
151,51,58,14.079470198675496
152,36,58,14.223684210526315
153,45,58,14.42483660130719
154,62,62,14.733766233766234
155,32,62,14.845161290322581
156,19,62,14.871794871794872
157,31,62,14.97452229299363
158,18,62,14.99367088607595
159,30,62,15.08805031446541
160,36,62,15.21875
161,31,62,15.316770186335404
162,23,62,15.364197530864198
163,46,62,15.552147239263803
164,23,62,15.597560975609756
165,39,62,15.73939393939394
166,45,62,15.91566265060241
167,16,62,15.916167664670658
168,46,62,16.095238095238095
169,22,62,16.130177514792898
170,32,62,16.223529411764705
171,30,62,16.304093567251464
172,31,62,16.38953488372093
173,29,62,16.46242774566474
174,33,62,16.557471264367816
175,33,62,16.65142857142857
176,23,62,16.6875
177,17,62,16.689265536723163
178,46,62,16.853932584269664
179,25,62,16.899441340782122
180,11,62,16.866666666666667
181,38,62,16.983425414364643
182,45,62,17.13736263736264
183,35,62,17.23497267759563
184,23,62,17.266304347826086
185,21,62,17.286486486486485
186,41,62,17.413978494623656
187,35,62,17.50802139037433
188,20,62,17.52127659574468
189,30,62,17.58730158730159
190,29,62,17.647368421052633
191,33,62,17.727748691099478
192,29,62,17.786458333333332
193,56,62,17.984455958549223
194,21,62,18.0
195,20,62,18.01025641025641
196,71,71,18.28061224489796
197,37,71,18.375634517766496
198,34,71,18.454545454545453
199,34,71,18.532663316582916
200,46,71,18.67
201,26,71,18.70646766169154
202,31,71,18.76732673267327
203,14,71,18.74384236453202
204,61,71,18.95098039215686
205,31,71,19.009756097560974
206,12,71,18.975728155339805
207,31,71,19.033816425120772
208,37,71,19.120192307692307
209,22,71,19.13397129186603
210,43,71,19.247619047619047
211,45,71,19.369668246445496
212,36,71,19.44811320754717
213,24,71,19.469483568075116
214,47,71,19.598130841121495
215,28,71,19.63720930232558
216,20,71,19.63888888888889
217,16,71,19.622119815668203
218,29,71,19.665137614678898
219,41,71,19.76255707762557
220,27,71,19.795454545454547
221,35,71,19.86425339366516
222,24,71,19.882882882882882
223,39,71,19.968609865470853
224,54,71,20.120535714285715
225,19,71,20.115555555555556
226,26,71,20.141592920353983
227,41,71,20.233480176211454
228,12,71,20.19736842105263
229,30,71,20.240174672489083
230,28,71,20.27391304347826
231,29,71,20.31168831168831
232,29,71,20.349137931034484
233,35,71,20.412017167381975
234,32,71,20.46153846153846
235,44,71,20.561702127659576
236,9,71,20.51271186440678
237,10,71,20.468354430379748
238,19,71,20.462184873949578
239,34,71,20.518828451882847
240,24,71,20.533333333333335
241,41,71,20.61825726141079
242,37,71,20.68595041322314
243,41,71,20.76954732510288
244,38,71,20.84016393442623
245,38,71,20.910204081632653
246,37,71,20.975609756097562
247,31,71,21.016194331983804
248,33,71,21.06451612903226
249,39,71,21.136546184738958
250,18,71,21.124
251,37,71,21.187250996015937
252,26,71,21.206349206349206
253,53,71,21.33201581027668
254,22,71,21.334645669291337
255,33,71,21.380392156862744
256,31,71,21.41796875
257,13,71,21.3852140077821
258,24,71,21.3953488372093
259,14,71,21.366795366795365
260,38,71,21.43076923076923
261,20,71,21.42528735632184
262,34,71,21.47328244274809
263,41,71,21.547528517110266
264,29,71,21.575757575757574
265,35,71,21.626415094339624
266,43,71,21.706766917293233
267,40,71,21.775280898876403
268,56,71,21.902985074626866
269,50,71,22.007434944237918
270,14,71,21.977777777777778
271,45,71,22.062730627306273
272,54,71,22.18014705882353
273,35,71,22.227106227106226
274,19,71,22.215328467153284
275,15,71,22.189090909090908
276,22,71,22.18840579710145
277,19,71,22.176895306859205
278,21,71,22.172661870503596
279,35,71,22.218637992831543
280,29,71,22.242857142857144
281,25,71,22.252669039145907
282,57,71,22.375886524822697
283,35,71,22.420494699646643
284,39,71,22.47887323943662
285,36,71,22.526315789473685
286,23,71,22.527972027972027
287,46,71,22.609756097560975
288,48,71,22.697916666666668
289,23,71,22.698961937716263
290,46,71,22.779310344827586
291,50,71,22.872852233676976
292,45,71,22.948630136986303
293,32,71,22.97952218430034
294,29,71,23.0
295,27,71,23.0135593220339
296,27,71,23.027027027027028
297,26,71,23.037037037037038
298,28,71,23.053691275167786
299,40,71,23.110367892976587
300,38,71,23.16
301,21,71,23.15282392026578
302,33,71,23.185430463576157
303,20,71,23.174917491749174
304,52,71,23.269736842105264
305,22,71,23.2655737704918
306,25,71,23.27124183006536
307,13,71,23.237785016286644
308,52,71,23.33116883116883
309,26,71,23.339805825242717
310,24,71,23.34193548387097
311,19,71,23.327974276527332
312,27,71,23.33974358974359
313,47,71,23.415335463258785
314,29,71,23.43312101910828
315,25,71,23.438095238095237
316,32,71,23.46518987341772
317,25,71,23.470031545741325
318,25,71,23.4748427672956
319,32,71,23.50156739811912
320,33,71,23.53125
321,24,71,23.53271028037383
322,43,71,23.593167701863354
323,30,71,23.613003095975234
324,23,71,23.61111111111111
325,50,71,23.692307692307693
326,24,71,23.69325153374233
327,42,71,23.749235474006117
328,27,71,23.759146341463413
329,15,71,23.732522796352583
330,45,71,23.796969696969697
331,27,71,23.80664652567976
332,29,71,23.822289156626507
333,20,71,23.81081081081081
334,51,71,23.892215568862277
335,27,71,23.901492537313434
336,28,71,23.913690476190474
337,39,71,23.958456973293767
338,41,71,24.00887573964497
339,35,71,24.041297935103245
340,50,71,24.11764705882353
341,33,71,24.143695014662757
342,23,71,24.140350877192983
343,37,71,24.17784256559767
344,24,71,24.177325581395348
345,36,71,24.21159420289855
346,28,71,24.222543352601157
347,28,71,24.23342939481268
348,49,71,24.304597701149426
349,29,71,24.318051575931232
350,35,71,24.34857142857143
351,13,71,24.316239316239315
352,28,71,24.326704545454547
353,27,71,24.334277620396602
354,43,71,24.387005649717516
355,31,71,24.4056338028169
356,44,71,24.46067415730337
357,46,71,24.521008403361346
358,50,71,24.592178770949722
359,34,71,24.618384401114206
360,43,71,24.669444444444444
361,25,71,24.670360110803323
362,44,71,24.723756906077348
363,52,71,24.798898071625345
364,17,71,24.77747252747253
365,42,71,24.824657534246576
366,26,71,24.827868852459016
367,34,71,24.852861035422343
368,15,71,24.82608695652174
369,38,71,24.86178861788618
370,58,71,24.951351351351352
371,31,71,24.967654986522913
372,29,71,24.978494623655912
373,24,71,24.975871313672922
374,30,71,24.989304812834224
375,17,71,24.968
376,17,71,24.9468085106383
377,26,71,24.949602122015914
378,37,71,24.98148148148148
379,23,71,24.976253298153033
380,22,71,24.96842105263158
381,32,71,24.986876640419947
382,46,71,25.041884816753928
383,38,71,25.075718015665796
384,23,71,25.0703125
385,25,71,25.070129870129872
386,29,71,25.080310880829014
387,21,71,25.069767441860463
388,29,71,25.079896907216494
389,13,71,25.04884318766067
390,39,71,25.084615384615386
391,32,71,25.10230179028133
392,41,71,25.142857142857142
393,38,71,25.17557251908397
394,21,71,25.16497461928934
395,20,71,25.151898734177216
396,30,71,25.164141414141415
397,25,71,25.163727959697734
398,41,71,25.2035175879397
399,56,71,25.280701754385966
400,40,71,25.3175
401,22,71,25.30922693266833
402,11,71,25.27363184079602
403,23,71,25.267990074441688
404,21,71,25.257425742574256
405,36,71,25.28395061728395
406,2,71,25.226600985221676
407,43,71,25.27027027027027
408,19,71,25.254901960784313
409,31,71,25.268948655256725
410,21,71,25.258536585365853
411,37,71,25.287104622871045
412,27,71,25.29126213592233
413,45,71,25.338983050847457
414,35,71,25.36231884057971
415,40,71,25.397590361445783
416,19,71,25.38221153846154
417,31,71,25.39568345323741
418,29,71,25.404306220095695
419,13,71,25.37470167064439
420,34,71,25.395238095238096
421,62,71,25.482185273159146
422,31,71,25.49526066350711
423,39,71,25.527186761229313
424,40,71,25.56132075471698
425,48,71,25.614117647058823
426,54,71,25.68075117370892
427,42,71,25.71896955503513
428,30,71,25.72897196261682
429,12,71,25.696969696969695
430,26,71,25.697674418604652
431,42,71,25.735498839907194
432,43,71,25.775462962962962
433,46,71,25.82217090069284
434,47,71,25.870967741935484
435,25,71,25.868965517241378
436,32,71,25.88302752293578
437,31,71,25.894736842105264
438,40,71,25.926940639269407
439,22,71,25.917995444191344
440,41,71,25.952272727272728
441,43,71,25.990929705215418
